ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
82,"['d4_1', 'd4_2', 'd4_3', 'd4_4', 'd4_5',
  'd4_6']",,MultiSelect,,,,,,,
77,"['d5_1', 'd5_2', 'd5_3', 'd5_4', 'd5_5',
  'd5_6']",,MultiSelect,,,,,,,
45,"['d5_1', 'd5_2', 'd5_3', 'd5_4', 'd5_5',
  'd5_6']","['d4_1', 'd4_2', 'd4_3', 'd4_4', 'd4_5', 'd4_6']",Parallel Piping,Multi to Multi,ASK d5 IF D4=3 OR 4 (d5 = 6 not asked - exclusive),,,,,
10,"['e1_1',
     'e1_2',
     'e1_3',
     'e1_4',
     'e1_5',
     'e1_6',
     'e1_7',
     'e1_8',
     'e1_9',
     'e1_10']",,MultiSelect,,,,,,,
23,"['e2_1', 'e2_2', 'e2_3', 'e2_4', 'e2_5']",,MultiSelect,,,,,,,
22,e2_1,"['a2', 'a3', 'a4']",Block/Force,Multi to Single,"[ASK IF A2=3, A3=1 OR A4=2-8]",,,,,
63,"['e2e201',
     'e2e202',
     'e2e203',
     'e2e204',
     'e2e205',
     'e2e206',
     'e2e207',
     'e2e208',
     'e2e209',
     'e2e210',
     'e2e211',
     'e2e212',
     'e2e213',
     'e2e214',
     'e2e215',
     'e2e216',
     'e2e217',
     'e2e218',
     'e2e219',
     'e2e220',
     'e2e221',
     'e2e222',
     'e2e223',
     'e2e224',
     'e2e225']",,MultiSelect,,,,,,,
4,"['e2e201',
     'e2e202',
     'e2e203',
     'e2e204',
     'e2e205',
     'e2e206',
     'e2e207',
     'e2e208',
     'e2e209',
     'e2e210',
     'e2e211',
     'e2e212',
     'e2e213',
     'e2e214',
     'e2e215',
     'e2e216',
     'e2e217',
     'e2e218',
     'e2e219',
     'e2e220',
     'e2e221',
     'e2e222',
     'e2e223',
     'e2e224',
     'e2e225']","['e2_1', 'e2_2', 'e2_3', 'e2_4', 'e2_5']",Block/Force,Multi to Multi,ASK IF E2e=STRONGLY AGREE/AGREE,,,,,
68,e2e223,"['e2e201',
     'e2e202',
     'e2e203',
     'e2e204',
     'e2e205',
     'e2e206',
     'e2e207',
     'e2e208',
     'e2e209',
     'e2e210',
     'e2e211',
     'e2e212',
     'e2e213',
     'e2e214',
     'e2e215',
     'e2e216',
     'e2e217',
     'e2e218',
     'e2e219',
     'e2e220',
     'e2e221',
     'e2e222',
     'e2e223',
     'e2e224',
     'e2e225']",None of the above,,triple exclusive,,,,,
60,e2e224,"['e2e201',
     'e2e202',
     'e2e203',
     'e2e204',
     'e2e205',
     'e2e206',
     'e2e207',
     'e2e208',
     'e2e209',
     'e2e210',
     'e2e211',
     'e2e212',
     'e2e213',
     'e2e214',
     'e2e215',
     'e2e216',
     'e2e217',
     'e2e218',
     'e2e219',
     'e2e220',
     'e2e221',
     'e2e222',
     'e2e223',
     'e2e224',
     'e2e225']",None of the above,,triple exclusive,,,,,
89,e2e225,"['e2e201',
     'e2e202',
     'e2e203',
     'e2e204',
     'e2e205',
     'e2e206',
     'e2e207',
     'e2e208',
     'e2e209',
     'e2e210',
     'e2e211',
     'e2e212',
     'e2e213',
     'e2e214',
     'e2e215',
     'e2e216',
     'e2e217',
     'e2e218',
     'e2e219',
     'e2e220',
     'e2e221',
     'e2e222',
     'e2e223',
     'e2e224',
     'e2e225']",None of the above,,triple exclusive,,,,,
88,"['e3a_1', 'e3a_2', 'e3a_3', 'e3a_4',
  'e3a_5', 'e3a_6', 'e3a_7', 'e3a_8']",,MultiSelect,,,,,,,
52,e3b,"['e3a_1', 'e3a_2', 'e3a_3', ' e3a_7', 'e3a_8']",Block/Force,Multi to Single,"ASK IF CODED 'A LOT' OR 'SOMETIMES' AT E3a CODE 1,2,3,7 OR 8",,,,,
12,"['e4_1', 'e4_2', 'e4_3', 'e4_4', 'e4_5',
  'e4_6', 'e4_7', 'e4_8']",,MultiSelect,,,,,,,
17,"['e4_1', 'e4_2', 'e4_3', 'e4_4', 'e4_5',
  'e4_6', 'e4_7', 'e4_8']",,Uniqueness,,rank (top 3 are mandatory),,,,,
18,"['e4_1', 'e4_2', 'e4_3', 'e4_4', 'e4_5',
  'e4_6', 'e4_7', 'e4_8']",,Count,,>= 3,,,,,
72,"['qv31',
     'qv32',
     'qv33',
     'qv34',
     'qv35',
     'qv36',
     'qv37',
     'qv38',
     'qv39']",,MultiSelect,,,,,,,
3,qv38,"['qv31',
     'qv32',
     'qv33',
     'qv34',
     'qv35',
     'qv36',
     'qv37',
     'qv38',
     'qv39']",None of the above,,Double exclusive,,,,,
64,qv39,"['qv31',
     'qv32',
     'qv33',
     'qv34',
     'qv35',
     'qv36',
     'qv37',
     'qv38',
     'qv39']",None of the above,,Double exclusive,,,,,
28,"['qv1b01',
     'qv1b02',
     'qv1b03',
     'qv1b04',
     'qv1b05',
     'qv1b06',
     'qv1b07',
     'qv1b08',
     'qv1b09',
     'qv1b10',
     'qv1b11',
     'qv1b12',
     'qv1b13',
     'qv1b14']",,MultiSelect,,,,,,,
51,qv1b13,"['qv1b01',
     'qv1b02',
     'qv1b03',
     'qv1b04',
     'qv1b05',
     'qv1b06',
     'qv1b07',
     'qv1b08',
     'qv1b09',
     'qv1b10',
     'qv1b11',
     'qv1b12',
     'qv1b13',
     'qv1b14']",None of the above,,Double exclusive,,,,,
6,qv1b14,"['qv1b01',
     'qv1b02',
     'qv1b03',
     'qv1b04',
     'qv1b05',
     'qv1b06',
     'qv1b07',
     'qv1b08',
     'qv1b09',
     'qv1b10',
     'qv1b11',
     'qv1b12',
     'qv1b13',
     'qv1b14']",None of the above,,Double exclusive,,,,,
49,"['qv1b01',
     'qv1b02',
     'qv1b03',
     'qv1b04',
     'qv1b05',
     'qv1b06',
     'qv1b07',
     'qv1b08',
     'qv1b09',
     'qv1b10',
     'qv1b11',
     'qv1b12',
     'qv1b13']",qv1a,Block/Force,Single to Multi,ASK IF QV1A= 1,,,,,
